model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Apertus-70B-Instruct-2509,2.092125530905817,17.61293312861222,24.965018191460963,24.785873556661453,1,1,1,1.3929881511674675,18.196360875683528,1.8916374525256516,1.371147647725442,2.664754060145955,1.5002646316546802,2.563325268851295,3.4176921873758186,2.2824992929024965,47.549732114669766,6.9981876160703145,44.429724706066295,12.394536672678745,5.968221237854001,2.553822258905971,2.6236805925297113,4.930604634699962,5.974364612573083,6.550840050723464,6.182778370560433,14.322660296802681,15.234589567412119,16.82070869175213,16.617340965940333,37.24137178773109,,0.48102967740884667,0.40464832698156494,0.4673644751781431,4
Apertus-8B-Instruct-2509,2.0112170210690277,16.397909165609487,23.65819117516883,24.218838672464422,1,0,1,1.3444372927605421,13.973415982063672,1.6463180600245957,1.1784806892603474,2.5355574033051407,1.5268472235137003,2.463953237450635,3.3108861468474178,1.8307860547573276,52.57720941746361,5.772423230794679,42.646295891607664,12.382048835925929,6.054319279253629,2.8309668596475355,2.800920135413706,4.699048419470559,6.0194237646335775,6.803499810193096,5.929824931696602,14.259704479394603,14.722633998487977,16.733298218945407,16.5372994654095,36.24210438641683,372.84596201468935,0.4789260028868054,0.4079790198339916,0.470031955826157,4
Falcon-3-10B-Instruct,2.153894250557339,15.730390803449552,22.481330734914312,24.24056244977353,1,1,2,1.5518429935701312,11.545105404334837,1.7263831895796313,1.3365294206142309,2.46353105232863,1.6150428014429892,2.540204843426439,3.34850998970609,2.857573612294121,47.69462738223835,9.549913979956814,42.609781460438526,12.335646715827023,6.59842941783076,2.9760438221570986,3.012949066125491,4.765169435504806,6.086033697511094,6.793100608537279,5.909911283398082,14.341382060766966,14.497000392045981,16.523195551869406,16.1645857308287,35.034919246982845,417.6298637944871,0.46012736185369246,0.3983765456780729,0.47327536357514477,4
Falcon-3-1B-Instruct,1.9267059942288522,15.811776631923504,22.36491651105139,25.22884643314132,1,1,1,1.3758164570121325,13.988340639847085,1.6822997655536123,1.1189623144650185,2.569425984150882,1.4634853307141276,2.3894590569438847,3.34132483692113,2.667021082367688,48.136255118218926,6.323379777860076,44.32182482897884,12.607987649530333,6.071503536076038,2.9680486488316618,2.7717713579698615,4.507045105785719,6.06980750751843,6.804676775862627,5.675361621047385,14.35473238221083,15.133594096475031,16.658501169811306,16.532219665826773,37.32339140947464,469.9300921176841,0.4919928922760363,0.40587468505952096,0.4577711629768487,3
Falcon-3-7B-Instruct,1.9820003597585776,16.056410556704108,23.379835200822534,24.465699507989612,2,1,1,1.460807339534387,15.430637367548156,1.7429631763867257,1.1969947118308766,2.642968358373862,1.4580003545576528,2.5908295812273323,3.4428065502717793,2.69062925479477,48.43171545262982,5.580053022293262,42.070662507083995,12.578955138157465,6.149264699625133,2.9437046080070473,2.951844113872449,4.651479696480607,6.1122372355214925,6.698493337522826,5.888977033014745,14.424846973180417,15.06146247086114,16.53616634323262,16.059797611637716,32.64947842391527,376.09369175829727,0.45601686490609594,0.4125551824083055,0.48581945386294967,4
LFM2-1.2B,2.0517122435734385,16.5768708205381,23.608708532595582,25.352948892596444,1,1,1,1.7108685379265305,12.835079643354607,1.9728103157173753,1.3326863516715175,2.634213736795496,1.765120686372989,2.6143129863333345,3.5007252593665896,2.880977899495617,49.55035943013926,5.081683621746187,43.295120735518076,12.49096495372501,6.046559101355444,3.6274234214814416,3.820669642733971,5.2813114887644375,6.1743788482850155,6.616193655690361,5.928542969280492,14.303481094467015,15.023914090034385,16.72080599336797,16.570296585680484,37.79081235871847,454.92518002857656,0.49530365118994624,0.42780843764266874,0.4368340872333001,4
LFM2-2.6B,1.954884846370519,16.034410260185073,23.504473239472425,25.03680176429041,1,0,1,1.6826068047677767,12.627337906338303,1.6294560716169297,1.1851983581884302,2.282876229759468,1.3122462533040284,2.153849977756615,3.1208055107517687,3.078752663369598,53.033406927150935,4.206012696031015,46.54972753514447,12.266234682379789,6.2501010804839225,3.758531833463863,3.452177160669354,5.22032125292473,6.20473091047349,6.721518120988895,5.857148722768198,14.151090596588691,15.377201273701866,16.80666938050898,16.880258904887192,37.83032772591528,465.91809058724493,0.48970922133649647,0.4055670476189091,0.4333904707421937,3
LFM2-8B-A1B,2.0019746019733393,16.01820850352707,22.600904535924453,24.749862738401628,1,1,2,1.708187461703194,9.956338049460816,1.808811488310019,1.2717881628607974,2.528461453747544,1.5376550761405112,2.48845249617172,3.3649295879069827,2.2413864806655313,51.64136628202625,5.5311942644373016,44.410203308345125,13.09993173522671,6.27366506558064,3.1264910564621307,2.820535695897812,4.964040621332142,6.127510612803068,6.807480590104248,5.806041881304334,14.215376275753997,15.409983526772494,16.680340508409927,16.782045149968024,37.606419522654846,468.8795554319307,0.4951023553691698,0.4012945774882115,0.48667243383584025,4
Llama-3.1-70B-Instruct,2.0681860418395317,14.876565201027644,22.17035876183547,22.598866142268662,2,2,3,1.3330297974145218,10.180638835007894,1.8622178094072603,1.2257434614683558,2.5895874552700455,1.4869748864973318,2.6094979287841156,3.386158569840958,2.3750400232655964,52.63721039786535,6.535067489804589,45.847319120165615,12.100671752861468,5.984440832753959,3.3457995221032544,3.681613477713891,5.348497763508851,5.8371779483063735,6.086291956944801,6.079006666412908,14.240448695451088,15.055876603038243,16.927446160603033,16.595623137677023,31.465532736143157,453.4625919207322,0.45963948827542994,0.40285287539789527,0.46536055063401116,4
Llama-3.1-8B-Instruct,1.9661606549142248,14.786768006219432,20.86788525086098,24.088316773182235,1,2,3,1.7065187859513857,11.500298512188492,1.6114673060175941,1.1295120542442088,2.540473502698879,1.2982393720958125,2.3694047580979394,3.405425109134327,2.6199861819749954,51.94107413019585,5.186912379811739,44.33640053850914,12.389374229289544,6.0662267006018595,3.572186904191957,3.3609150321100665,5.09619647165388,6.077269419311328,6.419199294726608,5.730730298075706,14.31394491389037,14.780324740470402,16.622081070287766,16.237923501117173,34.11682101438565,424.0476665271165,0.47005061541446413,0.40538542431283064,0.4635474987782812,4
